,carat,cut,color,clarity,depth,table,price,x,y,z
6694,0.9,Very Good,H,VS1,60.5,63.0,4201,6.13,6.16,3.72
18725,1.24,Good,G,VS2,61.3,57.0,8672,6.78,6.88,4.19
30680,0.31,Ideal,D,VVS2,61.7,54.0,815,4.38,4.43,2.72
18202,1.2,Premium,E,VS2,62.0,59.0,8279,6.78,6.71,4.18
35640,0.3,Good,E,VVS2,59.8,64.0,1026,4.34,4.29,2.58
40453,0.5,Premium,D,SI1,60.3,58.0,1433,5.12,5.1,3.08
35049,0.38,Ideal,E,VS1,61.9,56.0,1000,4.63,4.67,2.88
21361,1.53,Premium,H,VS2,60.1,58.0,11087,7.6,7.57,4.71
25086,0.32,Ideal,H,VVS2,61.2,56.0,645,4.4,4.43,2.7
33013,0.4,Premium,E,SI1,62.8,59.0,907,4.7,4.67,2.94
37072,0.41,Very Good,F,VS2,63.2,57.0,1107,4.76,4.74,3.0
679,0.33,Ideal,G,SI2,61.9,56.0,557,4.45,4.41,2.74
40999,0.54,Ideal,F,VS2,61.3,57.0,1572,5.28,5.25,3.23
11177,1.01,Premium,H,VS2,61.6,59.0,5166,6.45,6.47,3.98
47651,0.63,Ideal,D,VS2,62.1,55.0,2373,5.5,5.52,3.42
4848,1.14,Premium,J,SI1,62.4,59.0,3792,6.7,6.62,4.16
31048,0.32,Ideal,F,VS2,61.7,55.0,828,4.41,4.4,2.72
29818,0.39,Ideal,I,VVS2,62.3,54.0,787,4.66,4.69,2.91
18305,1.15,Very Good,G,VVS2,58.4,59.0,8349,6.84,6.92,4.02
20699,1.24,Ideal,G,VVS2,61.4,58.0,10395,6.88,6.92,4.24
39090,0.5,Good,G,SI1,62.5,64.0,1286,4.99,4.93,3.1
18851,0.31,Very Good,H,VVS2,61.4,58.0,625,4.32,4.37,2.67
21394,1.47,Premium,G,VS2,62.8,57.0,11113,7.27,7.22,4.55
24167,2.25,Good,J,SI1,62.4,61.0,15287,8.29,8.35,5.19
3268,0.79,Ideal,G,VS1,62.0,56.0,3413,5.91,5.93,3.67
40729,0.32,Ideal,H,VS1,61.8,53.0,516,4.41,4.43,2.73
2873,0.92,Ideal,I,SI1,61.8,57.0,3323,6.27,6.25,3.87
38166,0.44,Ideal,G,VVS1,62.3,56.0,1202,4.85,4.87,3.03
10884,1.18,Very Good,E,SI2,62.5,60.0,5088,6.7,6.74,4.2
47645,0.85,Good,J,VS1,63.6,57.0,2372,6.01,5.94,3.8
25930,0.3,Very Good,E,VS2,62.8,59.0,658,4.24,4.26,2.67
44797,0.56,Ideal,D,VS2,61.0,57.0,1963,5.28,5.35,3.24
36512,0.41,Ideal,G,VVS1,62.2,54.0,1076,4.79,4.82,2.99
3135,0.3,Ideal,F,VS2,62.6,54.0,567,4.3,4.33,2.7
16056,1.01,Good,E,VS2,63.9,59.0,6968,6.34,6.31,4.04
11490,1.21,Premium,F,SI2,58.9,60.0,5243,6.81,6.74,3.99
101,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67
26831,0.3,Premium,G,VVS2,61.0,60.0,684,4.3,4.32,2.63
22806,1.73,Premium,H,SI1,61.8,57.0,12931,7.77,7.64,4.76
38625,0.5,Premium,E,SI2,61.4,58.0,1240,5.11,5.09,3.13
19196,1.21,Ideal,G,VS1,61.4,56.0,8985,6.9,6.84,4.22
12152,1.11,Premium,H,SI1,58.8,59.0,5439,6.79,6.74,3.98
63,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68
30249,0.23,Very Good,D,VVS2,62.4,53.0,458,3.94,3.95,2.46
2604,1.0,Good,F,SI2,63.6,62.0,3265,6.25,6.2,3.96
33810,0.31,Ideal,D,VS2,62.7,57.0,942,4.34,4.3,2.71
9787,1.2,Good,G,SI1,63.5,60.0,4828,6.68,6.74,4.26
49777,0.81,Good,F,SI1,64.3,53.0,2718,5.91,5.97,3.81
28770,0.31,Ideal,E,VVS1,59.5,60.0,749,4.43,4.45,2.64
13837,1.0,Very Good,D,SI1,61.4,63.0,6040,6.35,6.41,3.92
24771,0.32,Ideal,G,VS1,62.3,55.0,645,4.37,4.4,2.73
5224,0.8,Ideal,F,VS1,62.4,55.0,3884,5.92,5.88,3.68
22086,1.18,Ideal,E,VVS2,61.5,57.0,11906,6.8,6.75,4.17
49446,0.7,Fair,G,VS2,64.4,56.0,2657,5.64,5.57,3.61
38668,0.41,Ideal,E,VVS2,61.5,55.0,1243,4.83,4.79,2.96
36363,0.32,Ideal,D,VVS1,61.9,56.0,1067,4.36,4.39,2.71
4391,0.96,Fair,F,SI2,65.2,58.0,3688,6.14,6.12,3.99
21623,1.53,Very Good,F,VS1,63.2,58.0,11379,7.33,7.3,4.62
5138,0.78,Ideal,D,VS2,62.2,55.0,3864,5.87,5.97,3.68
11754,1.03,Very Good,D,SI1,60.5,61.0,5313,6.43,6.47,3.9
27704,0.3,Ideal,D,VS2,61.8,55.0,710,4.32,4.36,2.68
3012,0.74,Very Good,E,VS1,63.4,55.0,3357,5.78,5.76,3.66
29153,0.3,Ideal,H,IF,62.3,54.0,764,4.34,4.36,2.71
7575,0.93,Premium,F,SI1,62.3,58.0,4373,6.18,6.22,3.86
18134,1.73,Good,E,I1,63.6,59.0,8220,7.56,7.6,4.82
39027,0.58,Ideal,I,VS2,62.0,54.0,1279,5.35,5.39,3.33
41501,0.5,Very Good,E,VS2,61.2,63.0,1623,5.14,5.09,3.13
42379,0.5,Ideal,E,SI1,61.5,57.0,1700,5.08,5.1,3.13
7107,0.26,Ideal,E,VS1,61.8,55.0,580,4.13,4.09,2.54
27013,0.3,Very Good,G,VVS1,61.3,56.0,691,4.34,4.37,2.67
40742,0.31,Ideal,F,SI1,60.5,57.0,516,4.4,4.43,2.67
23079,1.5,Premium,F,VS2,62.4,57.0,13333,7.38,7.29,4.58
45995,0.3,Premium,H,SI1,62.6,58.0,540,4.28,4.22,2.66
9302,1.1,Premium,G,SI1,59.6,60.0,4712,6.74,6.7,4.0
30176,0.27,Ideal,E,VVS2,62.0,55.0,799,4.14,4.12,2.56
30753,0.36,Ideal,E,VS1,61.8,56.0,817,4.55,4.58,2.82
28130,0.36,Very Good,G,VS1,61.2,60.0,726,4.56,4.59,2.8
44715,0.53,Ideal,D,VS2,62.2,56.0,1956,5.19,5.16,3.22
23844,2.22,Ideal,G,SI2,62.6,57.0,14637,8.35,8.29,5.21
9333,1.32,Premium,I,VS1,62.4,58.0,4719,7.01,6.96,4.36
23260,1.51,Very Good,E,VS2,62.4,58.0,13623,7.26,7.33,4.55
40129,0.6,Very Good,I,VS2,60.6,60.0,1402,5.46,5.49,3.32
34309,0.33,Ideal,F,VVS1,61.5,56.0,964,4.46,4.49,2.75
33127,0.3,Ideal,D,VS2,60.8,57.0,911,4.34,4.31,2.63
44903,0.7,Very Good,J,SI1,61.7,57.0,1979,5.65,5.69,3.5
39399,0.5,Fair,D,SI1,64.6,58.0,1323,5.0,4.97,3.22
1569,0.72,Very Good,E,VS2,63.8,57.0,3035,5.66,5.69,3.62
39429,0.53,Very Good,E,SI1,63.3,56.0,1326,5.13,5.17,3.26
1715,0.73,Very Good,E,VS2,63.1,55.0,3066,5.77,5.71,3.62
18997,1.56,Ideal,I,SI1,61.4,56.0,8858,7.47,7.42,4.57
38062,0.41,Ideal,F,VVS2,61.7,56.0,1192,4.81,4.78,2.96
40765,0.32,Ideal,J,VS2,62.1,54.0,393,4.38,4.44,2.74
22591,0.41,Good,E,SI2,63.5,55.0,638,4.69,4.73,2.99
44631,0.72,Premium,J,VS2,60.2,59.0,1944,5.85,5.81,3.51
13096,1.34,Premium,D,SI2,60.3,59.0,5756,7.16,7.11,4.3
32096,0.27,Very Good,E,VS1,61.9,59.0,470,4.16,4.21,2.59
29219,0.34,Premium,G,VS2,61.6,58.0,765,4.51,4.45,2.76
572,0.71,Very Good,D,VS1,63.4,55.0,2841,5.69,5.61,3.58
39371,0.44,Ideal,F,VVS1,61.5,57.0,1319,4.9,4.86,3.0
38841,0.46,Very Good,D,VS2,63.2,56.0,1262,4.92,4.89,3.1
31409,0.3,Premium,E,VS2,59.9,59.0,844,4.38,4.33,2.61
30943,0.41,Very Good,G,VS2,61.3,57.0,827,4.76,4.8,2.93
18267,1.51,Good,I,SI1,63.7,58.0,8313,7.22,7.26,4.61
11389,1.22,Premium,G,SI2,61.6,62.0,5226,6.79,6.75,4.17
795,0.7,Ideal,D,SI1,60.7,56.0,2872,5.72,5.75,3.48
49292,0.74,Ideal,I,VS1,60.7,56.0,2631,5.86,5.9,3.57
2157,1.23,Ideal,H,I1,61.6,55.0,3168,6.92,6.87,4.25
5673,0.9,Good,G,VS2,62.0,63.0,3990,6.06,6.13,3.78
37468,0.5,Good,E,SI1,65.5,56.0,1136,4.9,4.99,3.24
30305,0.31,Very Good,G,VS1,63.2,57.0,802,4.33,4.28,2.72
33059,0.31,Ideal,G,VVS2,61.9,55.0,907,4.36,4.33,2.69
13302,1.2,Good,I,VS1,59.6,61.0,5818,6.84,6.89,4.09
20535,1.52,Ideal,I,VS1,62.9,60.0,10214,7.31,7.27,4.59
25125,2.31,Premium,I,SI2,62.9,58.0,17218,8.43,8.34,5.27
34358,0.34,Ideal,F,VVS1,61.4,57.0,967,4.5,4.53,2.77
5417,1.02,Very Good,H,SI2,62.4,59.0,3927,6.37,6.42,3.99
6445,0.9,Good,H,VS2,61.5,61.0,4156,6.15,6.24,3.81
3417,1.0,Premium,E,SI2,61.0,59.0,3450,6.4,6.33,3.88
41888,0.51,Ideal,G,VS1,61.0,55.0,1656,5.11,5.21,3.15
35828,0.44,Premium,I,VS1,62.8,56.0,1040,4.88,4.83,3.05
21479,1.6,Premium,G,SI1,62.4,61.0,11189,7.43,7.4,4.63
31925,0.3,Ideal,G,IF,62.1,55.0,863,4.32,4.34,2.69
43218,0.51,Ideal,D,VS2,61.6,56.0,1787,5.15,5.17,3.18
16486,1.31,Very Good,H,SI1,60.3,58.0,7189,7.02,7.1,4.26
17355,1.01,Ideal,E,VS1,62.7,55.0,7665,6.45,6.4,4.03
29275,0.38,Premium,G,VS2,59.3,59.0,766,4.71,4.74,2.8
39370,0.31,Ideal,E,IF,61.0,57.0,1319,4.36,4.39,2.67
12545,1.21,Premium,J,VS1,59.5,60.0,5556,6.99,6.9,4.13
7051,1.01,Premium,G,SI2,60.1,60.0,4270,6.48,6.44,3.88
28701,0.27,Ideal,H,VS1,62.2,56.0,449,4.12,4.15,2.57
4953,0.3,Premium,G,SI1,62.7,58.0,574,4.27,4.22,2.66
44427,0.52,Premium,D,VS2,60.6,56.0,1919,5.25,5.22,3.17
49295,0.76,Premium,F,SI1,62.7,58.0,2631,5.83,5.78,3.64
48941,0.71,Very Good,I,VVS1,63.4,57.0,2572,5.71,5.67,3.61
33500,0.33,Ideal,E,VS2,62.3,56.0,928,4.47,4.46,2.78
39722,0.43,Ideal,F,VVS1,62.3,55.0,1358,4.85,4.88,3.03
4612,1.05,Very Good,I,SI2,62.3,59.0,3742,6.42,6.46,4.01
48017,0.64,Ideal,F,VS2,62.3,56.0,2419,5.51,5.53,3.44
34553,0.43,Good,D,VS2,59.9,61.0,976,4.84,4.88,2.91
49227,0.54,Ideal,E,VVS2,62.2,54.0,2616,5.23,5.26,3.26
43406,0.53,Premium,G,VS1,60.1,58.0,1813,5.32,5.27,3.18
38606,0.31,Ideal,E,IF,60.4,56.0,1239,4.43,4.38,2.66
49088,0.24,Very Good,E,VVS1,62.2,59.0,552,3.99,4.02,2.49
42069,0.52,Premium,E,VS1,61.6,58.0,1668,5.14,5.18,3.18
22802,2.23,Premium,H,SI2,59.4,59.0,12921,8.6,8.54,5.09
1220,0.82,Ideal,I,SI1,61.8,55.0,2959,6.0,6.03,3.72
9198,1.0,Very Good,F,SI1,63.1,57.0,4704,6.37,6.33,4.01
28578,0.3,Ideal,E,VVS2,62.0,55.0,743,4.3,4.34,2.68
48368,0.7,Premium,G,VS2,62.1,58.0,2479,5.68,5.63,3.51
39714,0.54,Premium,G,SI1,60.8,59.0,1356,5.27,5.23,3.19
21790,1.5,Good,G,VS1,63.8,59.0,11524,7.16,7.22,4.59
28784,0.31,Ideal,F,VS2,61.9,57.0,749,4.34,4.32,2.68
6011,0.92,Ideal,G,SI2,62.4,56.0,4068,6.21,6.23,3.88
7050,1.21,Premium,J,SI1,62.6,58.0,4269,6.74,6.71,4.21
19509,1.01,Ideal,E,VVS2,62.8,56.0,9254,6.39,6.34,4.0
37613,0.28,Ideal,H,VS1,62.0,55.0,497,4.21,4.24,2.62
37907,0.42,Ideal,D,VS1,62.1,56.0,1179,4.78,4.82,2.98
2481,0.73,Ideal,I,VVS1,61.8,57.0,3239,5.75,5.77,3.56
46195,0.7,Very Good,G,SI1,62.1,56.0,2175,5.64,5.67,3.51
24039,2.0,Ideal,I,SI2,61.7,56.0,15092,8.0,8.13,4.98
31865,0.34,Premium,H,VVS1,61.2,58.0,862,4.51,4.48,2.75
36085,0.51,Premium,G,SI2,60.8,59.0,1052,5.2,5.19,3.16
11507,1.2,Premium,G,SI2,59.9,59.0,5250,6.92,6.98,4.16
142,0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65
1056,0.87,Ideal,H,SI1,62.5,57.0,2923,6.13,6.06,3.81
46293,0.29,Very Good,H,VVS2,61.7,55.0,541,4.27,4.3,2.64
23737,1.51,Premium,F,VS2,61.9,59.0,14465,7.39,7.31,4.55
17747,1.06,Ideal,G,VVS2,61.6,56.3,7934,6.53,6.56,4.03
12035,0.38,Premium,J,VS1,62.1,60.0,600,4.6,4.64,2.87
3179,0.9,Fair,I,VS1,65.2,60.0,3387,6.0,5.96,3.9
49808,0.73,Good,E,VS2,63.3,60.0,2723,5.67,5.73,3.61
25505,2.05,Ideal,E,SI1,62.4,57.0,18193,8.17,8.09,5.08
26556,0.33,Very Good,I,SI1,63.0,57.0,434,4.37,4.39,2.76
4101,0.91,Very Good,I,VVS2,63.5,59.0,3618,6.1,6.06,3.86
48166,0.3,Ideal,D,SI1,61.0,58.0,547,4.32,4.33,2.64
44280,0.99,Fair,J,I1,62.9,58.0,1901,6.33,6.1,3.91
48202,0.7,Ideal,F,SI1,60.8,60.0,2445,5.74,5.78,3.5
21433,1.01,Ideal,E,VVS1,62.0,57.0,11154,6.45,6.39,3.98
25029,2.01,Very Good,I,VS1,59.8,63.0,17068,8.14,8.11,4.86
43051,0.51,Ideal,H,VVS1,61.8,55.0,1776,5.15,5.18,3.19
37526,0.42,Ideal,F,VVS2,61.6,56.0,1142,4.83,4.85,2.98
45355,0.61,Ideal,I,VVS1,61.9,56.0,2048,5.41,5.45,3.36
2090,0.88,Very Good,E,SI2,59.1,58.0,3150,6.22,6.3,3.7
15314,1.01,Ideal,G,VS1,61.2,57.0,6618,6.47,6.41,3.94
32971,0.35,Premium,F,VS2,61.1,62.0,906,4.54,4.5,2.76
46807,0.7,Very Good,I,VS2,62.3,58.0,2273,5.58,5.65,3.5
18167,1.01,Ideal,G,VVS2,62.2,54.0,8252,6.48,6.41,4.01
17181,1.47,Premium,H,SI2,59.1,56.0,7573,7.51,7.46,4.42
3901,0.91,Ideal,I,SI1,62.4,56.0,3574,6.2,6.24,3.88
23779,1.82,Very Good,F,SI1,63.2,56.0,14545,7.71,7.64,4.85
38479,0.42,Ideal,G,VVS1,60.0,57.0,1235,4.86,4.84,2.91
26302,0.36,Ideal,F,SI1,62.7,57.0,667,4.56,4.53,2.85
44791,0.56,Ideal,D,VS2,60.9,56.0,1963,5.31,5.36,3.25
39768,0.53,Good,F,SI1,63.8,56.0,1363,5.16,5.13,3.28
25166,1.69,Good,G,VS1,58.1,58.0,17338,7.8,7.84,4.54
29031,0.32,Ideal,D,VS2,61.9,57.0,758,4.37,4.39,2.71
49562,0.76,Ideal,E,SI2,61.5,57.0,2680,5.83,5.87,3.6
613,0.77,Premium,G,VS2,61.3,60.0,2846,5.91,5.81,3.59
26247,0.3,Very Good,H,SI1,62.9,57.0,432,4.22,4.27,2.67
36678,0.55,Premium,G,SI2,60.3,58.0,1081,5.33,5.35,3.22
7534,1.2,Ideal,I,SI1,62.2,57.0,4368,6.8,6.77,4.22
35638,0.49,Premium,G,SI1,60.6,60.0,1026,5.1,5.06,3.08
14928,1.12,Ideal,E,SI1,61.6,55.0,6458,6.69,6.66,4.11
14406,1.09,Ideal,D,SI1,62.8,54.0,6259,6.6,6.62,4.15
49703,0.3,Ideal,D,SI1,62.0,56.0,552,4.3,4.34,2.68
28421,0.36,Ideal,I,IF,62.0,55.0,735,4.59,4.61,2.85
18525,0.32,Very Good,I,SI1,61.6,61.0,421,4.36,4.4,2.7
17949,1.22,Premium,G,VS2,61.1,56.0,8062,6.94,6.85,4.21
13951,1.24,Very Good,I,SI1,61.4,59.0,6075,6.86,6.92,4.23
4363,0.33,Premium,I,SI1,61.3,59.0,572,4.51,4.46,2.75
23899,2.01,Premium,I,SI1,60.1,59.0,14752,8.21,8.15,4.92
40955,0.5,Very Good,E,VS2,62.4,57.0,1568,5.01,5.03,3.13
22938,1.96,Very Good,H,SI2,62.7,58.0,13099,7.86,7.93,4.95
14920,1.23,Very Good,H,SI1,61.0,59.0,6458,6.91,6.86,4.2
46885,0.59,Ideal,G,VVS2,62.2,56.0,2283,5.39,5.35,3.34
42997,0.52,Ideal,E,VS2,61.3,55.0,1767,5.22,5.19,3.19
14838,1.01,Good,F,VS2,63.1,60.0,6416,6.36,6.39,4.02
13376,1.0,Fair,G,VS1,58.7,67.0,5853,6.47,6.45,3.79
20926,1.52,Ideal,I,VS1,62.4,57.0,10641,7.32,7.36,4.58
49283,0.82,Premium,H,SI2,60.4,58.0,2629,6.11,6.07,3.68
19767,1.73,Premium,F,SI2,61.5,60.0,9494,7.75,7.66,4.74
41559,0.52,Ideal,F,VS2,61.2,56.0,1625,5.19,5.37,3.2
15883,1.12,Ideal,F,VS2,60.9,55.0,6858,6.73,6.67,4.08
26840,0.3,Very Good,G,VVS2,62.9,55.0,684,4.24,4.28,2.68
22893,0.32,Ideal,E,VS2,62.1,55.0,639,4.39,4.43,2.74
18819,1.21,Good,G,VS1,63.6,56.0,8741,6.8,6.72,4.3
14841,1.01,Premium,F,VS2,61.7,58.0,6416,6.42,6.48,3.98
34859,0.35,Ideal,D,VS1,63.0,57.0,990,4.51,4.48,2.83
13202,1.01,Very Good,F,SI1,62.3,55.0,5789,6.38,6.42,3.99
14177,1.03,Very Good,G,VS2,62.9,56.0,6164,6.43,6.45,4.05
33699,0.42,Very Good,I,IF,60.1,58.0,938,4.83,4.88,2.92
8579,1.11,Ideal,H,SI2,62.7,57.0,4578,6.59,6.66,4.14
22220,1.13,Ideal,D,VVS2,61.7,57.0,12150,6.65,6.68,4.11
22194,1.55,Ideal,H,VS1,60.6,57.0,12087,7.51,7.47,4.54
24902,2.01,Premium,D,SI2,62.7,58.0,16776,8.06,7.99,5.03
718,0.62,Ideal,G,VVS2,61.6,56.0,2861,5.48,5.51,3.38
10376,1.01,Premium,F,SI1,62.3,59.0,4969,6.38,6.4,3.98
44941,0.58,Ideal,E,VS2,61.6,55.0,1984,5.38,5.33,3.3
27533,0.35,Ideal,D,VS2,60.5,56.0,707,4.6,4.63,2.79
13968,1.16,Ideal,H,SI1,61.8,54.0,6084,6.74,6.81,4.19
36938,0.55,Ideal,J,SI1,60.9,57.0,1100,5.24,5.3,3.21
27111,0.4,Ideal,E,SI1,61.9,57.0,696,4.74,4.76,2.94
11533,1.2,Very Good,H,SI2,62.9,56.0,5257,6.74,6.77,4.25
36722,0.35,Premium,I,VS2,61.2,58.0,491,4.55,4.57,2.79
12343,0.24,Very Good,E,VS2,62.1,58.0,419,4.0,4.02,2.49
28648,0.33,Ideal,E,SI1,62.4,56.0,743,4.43,4.41,2.76
22000,2.0,Very Good,J,SI2,61.9,55.0,11792,8.06,8.09,5.0
23479,1.08,Ideal,E,VVS1,61.7,55.0,14032,6.6,6.63,4.08
32030,0.33,Ideal,G,VVS1,61.7,56.0,868,4.45,4.47,2.75
6712,1.05,Good,E,SI2,63.2,59.0,4204,6.36,6.43,4.04
14775,1.35,Premium,G,SI2,58.4,59.0,6400,7.32,7.28,4.26
36706,0.26,Premium,G,VS1,61.3,60.0,491,4.12,4.07,2.51
14377,1.56,Good,G,SI2,63.7,54.0,6246,7.35,7.31,4.67
44652,0.53,Ideal,E,VS2,61.5,56.0,1948,5.22,5.25,3.22
25856,0.39,Ideal,H,SI1,61.9,55.7,654,4.66,4.71,2.9
4398,0.9,Good,D,SI1,63.9,57.0,3689,6.1,6.04,3.88
4659,0.31,Good,H,SI1,63.6,57.0,573,4.33,4.32,2.75
32545,0.3,Ideal,F,IF,61.8,58.0,886,4.27,4.3,2.65
5934,1.01,Fair,G,SI2,58.3,62.0,4047,6.46,6.5,3.78
5507,1.05,Premium,E,SI2,60.9,61.0,3951,6.61,6.55,4.01
31228,0.34,Ideal,E,VVS2,62.3,57.0,835,4.44,4.48,2.78
7823,1.35,Good,I,SI2,57.9,60.0,4423,7.33,7.29,4.23
42560,0.59,Very Good,F,VS2,61.8,58.0,1723,5.35,5.4,3.32
24964,1.54,Premium,D,VS2,62.7,59.0,16921,7.33,7.29,4.58
35175,0.23,Very Good,E,VVS1,61.0,58.0,485,3.99,4.01,2.44
1598,0.32,Ideal,G,VS2,61.8,57.0,561,4.37,4.4,2.71
29035,0.32,Ideal,D,VS2,61.3,56.0,758,4.37,4.41,2.69
33752,0.31,Premium,E,VS1,60.2,58.0,942,4.43,4.38,2.65
27953,0.32,Premium,G,VS2,61.5,58.0,720,4.4,4.35,2.69
8779,0.83,Ideal,F,VS1,61.2,54.0,4617,6.07,6.11,3.73
2657,1.0,Very Good,I,SI2,60.8,63.0,3276,6.41,6.34,3.88
30260,0.32,Ideal,G,SI2,61.6,56.0,459,4.4,4.43,2.72
17909,0.27,Very Good,E,VVS2,63.0,56.0,622,4.12,4.14,2.6
37446,0.57,Fair,F,SI1,65.8,58.0,1133,5.2,5.1,3.39
18516,0.32,Good,G,SI2,63.4,55.0,421,4.32,4.35,2.75
26664,0.31,Premium,E,VS2,60.3,58.0,680,4.37,4.42,2.65
10042,1.02,Premium,H,SI1,62.9,59.0,4884,6.41,6.38,4.02
15841,1.11,Ideal,H,VVS2,61.4,57.0,6837,6.63,6.67,4.08
32589,0.41,Very Good,D,VS2,62.5,60.0,889,4.72,4.75,2.96
10087,1.01,Very Good,F,SI1,59.7,61.0,4899,6.49,6.55,3.89
11743,0.32,Ideal,E,VS2,61.4,56.0,599,4.41,4.45,2.72
48114,0.7,Very Good,F,VS2,62.7,57.0,2437,5.61,5.65,3.53
37576,0.41,Ideal,G,VVS1,61.7,55.0,1151,4.77,4.79,2.95
13640,1.2,Premium,G,SI1,61.5,61.0,5947,6.84,6.78,4.19
8751,0.91,Good,E,SI1,63.6,57.0,4611,6.13,6.1,3.89
4051,0.31,Good,D,SI1,63.5,58.0,571,4.27,4.3,2.72
33973,0.41,Good,D,SI1,63.8,56.0,947,4.72,4.68,3.0
18190,1.01,Premium,D,VS1,62.4,58.0,8265,6.38,6.41,3.99
10716,1.14,Premium,D,SI2,59.2,61.0,5047,6.84,6.82,4.04
9109,0.95,Premium,F,SI1,62.3,60.0,4682,6.3,6.26,3.91
25626,2.03,Ideal,F,SI2,61.4,58.0,18535,8.12,8.16,5.0
9870,0.91,Very Good,G,VVS2,63.4,58.0,4849,6.1,6.14,3.88
15579,1.0,Premium,E,VS2,62.7,59.0,6720,6.38,6.31,3.98
42576,0.56,Premium,D,SI1,61.4,58.0,1723,5.29,5.33,3.26
19951,1.06,Ideal,G,VVS2,61.4,56.0,9645,6.56,6.62,4.04
1890,0.32,Premium,H,VS1,61.3,60.0,561,4.33,4.38,2.67
41047,0.51,Ideal,G,VS1,62.5,57.0,1577,5.08,5.1,3.18
39947,0.54,Ideal,F,SI1,60.5,57.0,1385,5.25,5.27,3.18
20801,1.21,Ideal,G,VVS1,61.0,57.0,10482,6.93,6.87,4.21
17845,1.0,Premium,G,VVS1,62.1,59.0,8008,6.29,6.4,3.94
41278,0.5,Very Good,G,VS1,61.9,59.0,1603,5.06,5.08,3.14
34946,0.42,Very Good,E,SI1,63.4,56.0,992,4.82,4.74,3.03
22130,1.27,Ideal,F,VS1,61.6,55.0,11973,6.97,7.03,4.31
28641,0.33,Premium,E,SI1,60.7,57.0,743,4.47,4.43,2.7
46691,0.76,Ideal,F,SI2,61.6,57.0,2253,5.91,5.85,3.62
18181,1.52,Premium,J,VS1,62.4,59.0,8258,7.36,7.31,4.58
18602,1.5,Very Good,G,SI2,60.7,61.0,8580,7.33,7.36,4.46
19301,1.07,Ideal,D,VS1,61.8,57.0,9077,6.55,6.58,4.06
40547,0.51,Premium,G,VS2,61.2,60.0,1438,5.12,5.17,3.15
42538,0.53,Ideal,E,VS2,61.9,55.0,1721,5.19,5.22,3.22
37323,0.31,Ideal,G,SI1,61.6,57.0,493,4.32,4.35,2.67
25545,1.93,Ideal,F,SI1,59.5,60.0,18306,8.1,8.13,4.83
8332,0.28,Very Good,E,VS1,63.1,55.0,588,4.18,4.15,2.63
42250,0.54,Premium,F,VS2,62.4,58.0,1691,5.25,5.2,3.26
2444,0.96,Premium,I,SI2,62.7,58.0,3229,6.24,6.2,3.9
16229,1.13,Ideal,D,SI1,61.4,56.0,7066,6.69,6.74,4.12
4794,0.9,Good,F,SI1,62.9,57.0,3780,6.08,6.13,3.84
11717,0.28,Ideal,E,VS1,62.0,57.0,598,4.17,4.2,2.59
18774,0.91,Ideal,D,VVS2,62.0,54.0,8707,6.2,6.25,3.86
13028,1.46,Fair,H,SI2,56.3,60.0,5723,7.61,7.55,4.27
29025,0.32,Ideal,E,VS1,61.6,57.0,758,4.35,4.39,2.69
34483,0.32,Ideal,D,VS2,61.3,56.0,972,4.41,4.37,2.69
47966,0.7,Very Good,F,SI1,60.3,59.0,2409,5.73,5.82,3.48
21697,1.52,Ideal,F,VS2,62.3,55.0,11405,7.37,7.33,4.58
39466,0.5,Very Good,E,SI1,62.7,55.0,1331,5.06,5.09,3.18
42161,0.55,Ideal,F,VS1,60.3,57.0,1682,5.32,5.37,3.23
2319,1.0,Fair,J,SI2,56.3,64.0,3199,6.58,6.54,3.69
20152,1.08,Ideal,G,IF,62.3,56.0,9831,6.55,6.59,4.09
37815,0.54,Ideal,I,SI1,62.4,55.0,1170,5.19,5.23,3.25
49003,0.73,Ideal,E,SI2,60.9,57.0,2581,5.83,5.8,3.54
42691,0.56,Fair,E,VS2,64.7,60.0,1737,5.13,5.14,3.32
13525,1.5,Premium,G,I1,60.3,61.0,5914,7.39,7.34,4.44
18742,1.01,Premium,F,VVS2,62.0,58.0,8688,6.45,6.36,3.97
705,0.7,Good,E,VVS2,63.6,62.0,2858,5.61,5.58,3.56
30986,0.32,Premium,H,VVS2,61.6,55.0,828,4.44,4.42,2.73
36652,0.32,Ideal,G,VVS1,61.1,53.0,1080,4.44,4.4,2.7
41028,0.52,Ideal,E,VS2,61.4,54.0,1576,5.2,5.23,3.2
12408,1.01,Premium,H,VS1,61.1,58.0,5515,6.48,6.45,3.95
7484,1.08,Ideal,I,SI1,61.4,57.0,4355,6.67,6.62,4.08
31972,0.38,Ideal,F,VS1,62.0,54.0,865,4.65,4.68,2.89
35359,0.3,Very Good,G,VVS1,63.4,56.0,1013,4.31,4.27,2.72
39024,0.5,Fair,F,VS2,55.8,60.0,1279,5.31,5.27,2.95
22904,0.31,Very Good,G,VS1,61.9,54.0,640,4.36,4.4,2.71
15862,1.03,Very Good,D,VS1,59.6,61.0,6848,6.57,6.62,3.93
20899,1.23,Very Good,F,VS1,59.3,59.0,10609,6.98,7.01,4.15
17000,0.42,Good,D,SI2,60.7,61.0,617,4.78,4.84,2.92
